symbol,trade_direction,trades,wins,losses,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_move,is_original_119,candidate_type,passes_filter,score
IRM,LONG,1,1,0,1.0,0.0189678823139869,0.0189678823139869,0.0189678823139869,0.0189678823139869,0.0189678823139869,0.0232158825819974,-0.0140378696017162,False,NEW_CANDIDATE,False,0.0189678823139869
MTD,SHORT,1,1,0,1.0,0.0183691494784188,0.0183691494784188,0.0183691494784188,0.0183691494784188,0.0183691494784188,-0.039180609990944,0.0081710627481133,False,NEW_CANDIDATE,False,0.0183691494784188
LEN,SHORT,1,1,0,1.0,0.0182777463727152,0.0182777463727152,0.0182777463727152,0.0182777463727152,0.0182777463727152,-0.0261320422113792,0.0066388467374811,False,NEW_CANDIDATE,False,0.0182777463727152
MAR,LONG,1,1,0,1.0,0.0179463808655748,0.0179463808655748,0.0179463808655748,0.0179463808655748,0.0179463808655748,0.0266537248456766,-0.0215121553672751,False,NEW_CANDIDATE,False,0.0179463808655748
ROP,LONG,1,1,0,1.0,0.0178106476095507,0.0178106476095507,0.0178106476095507,0.0178106476095507,0.0178106476095507,0.0570434815908487,-0.014656513551134,False,NEW_CANDIDATE,False,0.0178106476095507
F,SHORT,1,1,0,1.0,0.0176380368098158,0.0176380368098158,0.0176380368098158,0.0176380368098158,0.0176380368098158,-0.078673934632412,0.0073387408265739,False,NEW_CANDIDATE,False,0.0176380368098158
IBM,LONG,1,1,0,1.0,0.0166954745443117,0.0166954745443117,0.0166954745443117,0.0166954745443117,0.0166954745443117,0.0928815633990229,-0.0067889192352712,True,ORIGINAL,False,0.0166954745443117
VRT,LONG,1,1,0,1.0,0.0166826143029494,0.0166826143029494,0.0166826143029494,0.0166826143029494,0.0166826143029494,0.0220845053364884,-0.0108230452674896,True,ORIGINAL,False,0.0166826143029494
USB,LONG,1,1,0,1.0,0.0165048543689321,0.0165048543689321,0.0165048543689321,0.0165048543689321,0.0165048543689321,0.0248587481949966,-0.0203538139623359,False,NEW_CANDIDATE,False,0.0165048543689321
ZBRA,LONG,2,1,1,0.5,0.015832424731403397,0.015832424731403397,0.031664849462806795,0.0460685109543261,-0.0144036614915193,0.04509994335326515,-0.0115128205021232,False,NEW_CANDIDATE,False,0.015832424731403397
AXON,LONG,2,1,1,0.5,0.01568743246694055,0.01568743246694055,0.0313748649338811,0.0339049590463784,-0.0025300941124973,0.0456918711188322,-0.01218845384873635,False,NEW_CANDIDATE,False,0.01568743246694055
EBAY,LONG,1,1,0,1.0,0.0149392579621319,0.0149392579621319,0.0149392579621319,0.0149392579621319,0.0149392579621319,0.0494167290867559,-0.0122162162162161,False,NEW_CANDIDATE,False,0.0149392579621319
